Fresh Products Samples 2,S$5,keety,Redemption using Sephora pointsMailing +$1Floral recovery calming mask (15ml)Lotus Youth Preserve Moisturiser (7ml)
Fresh sample kit,S$10,gooberjelly,2 items:1. Fresh Kombucha Facial Treatment Essence 20ml2. Black Tea  Instant Perfecting Mask 15mlGot kit from Sephora member's birthday gift 2022No expiry date writtenNo nego
BN Assorted Face Mud Mask Skincare Samples Satchets for Travel Trial - Fresh / Mary Kay / BioAqua / Clearproof,S$0.50,adorable_stuff,🎀 Prices start from $0.50🎀 Fresh Rose Mask / Umbrian Clay Purifying Mask $1.60 each 
Fresh Samples,S$6,tarratae,
"Deluxe Skincare Samples - Fresh, Tatcha, SK-II",S$10,gayahkg,
Skincare Samples FRESH BOBBI BROWN LIVING PROOF set,S$10,escapades.junky,
Fresh products/ sample (brand new) - rose / lotus / black tea,S$10,colourful_instocks,
Timothy Hay (Fresh and sweet smelling) (from shopee) - 100g Sample bag,S$3,purplemayhem,Timothy Hay (Fresh and sweet smelling) from shopeeFreshly packed in air-tight ziploc bag100g for $3 (not including weight of ziploc bag) Free same-day delivery to your door stepCheck out my other listings for other types of hay
Fresh Beuaty 2ml Sample Tea Elixir Black Tea advance cream soy face cleanser from sephora,S$9.90,chinnyplay,Fresh Samples Tea Elixir Black Tea advance cream soy face cleanser kombucha essences 2 ml each
"Clearing my skincare Samples (Chanel, Fresh, Estée Lauder, Drunk elephant and more)",S$1,zrylv,Purchase 5 or more from this listing or my makeup samples listing and I’ll include free normal mail :)Item Price list as follows:Fresh Soy Face Cleanser 2ml - $1 (SOLD)Estée Lauder Nutritious Cleanser 1.5ml - $1Clarins Gentle Foaming Cleanser 5ml - $1Fresh Kombucha Facial Treatment Essence 2ml - $2 (SOLD)Fresh Tea Elixir Activating Serum 2ml X2 - $2 each (SOLD)Caudalie Blemish Control Salicylic Serum 1.5ml - $1Caudalie Instant Firming Serum 1.5ml - $1Estée Lauder Nutritious lotion 1.5ml - $1Common labs Vitamin B5 2ml - $1Common labs Vitamin E 2ml - $1Chanel no.1 red camellia serum 1ml - $2 (SOLD)Gallinee face vinegar 3ml X2 - $1 for bothDrunk Elephant retinol cream 1.5ml - $2Sunday Riley C.E.O vitamin C cream 1ml - $1Estée Lauder Nutritious melting soft cream/mask 1.5ml - $1Fresh Lotus Youth Preserve Face Cream 2ml - $1 (SOLD)Skin Inc Deepsea Hydrating Mask 2ml - $1Fresh Umbrian clay purifying mask 4ml -$1 (SOLD)Fresh Rose Face Mask 4ml - $2 (SOLD)Fresh Sugar Face Polish 4g $1No nego as it’s already very very cheapThank you.
